Complaint_ID,Customer_ID,Gender,Age,Product_Category,Complaint_Date,Complaint_Channel,Complaint_Text,Complaint_Type,Resolution_Status
C178,1178,M,39,Jewelry,11/03/2025,Email,The bracelet diameter is too large and slips off easily.,Quality,Escalated
C179,1179,F,42,Clothing,12/03/2025,App,"The shirt sleeves are of different lengths, manufacturing defect.",Quality,Resolved
C180,1180,M,29,Electronics,13/03/2025,Phone,The tablet pen is not accurate and has significant lag.,Quality,Pending
C181,1181,F,46,Home & Kitchen,14/03/2025,Email,The air fryer basket coating is peeling off into the food.,Quality,Resolved
C182,1182,M,33,Electronics,15/03/2025,Chat,The laptop hinge is loose and screen doesn't stay in position.,Quality,Pending
C183,1183,F,38,Clothing,16/03/2025,App,The dress inner lining is torn and hanging out from the bottom.,Quality,Resolved
C184,1184,M,41,Home & Kitchen,17/03/2025,Phone,The water heater pressure valve is leaking continuously.,Quality,Escalated
C185,1185,F,36,Books,18/03/2025,Email,The dictionary has missing words that should be included.,Quality,Pending
C186,1186,M,43,Sports,19/03/2025,App,The football goal post is unstable and falls over easily.,Quality,Resolved
C187,1187,F,30,Beauty,20/03/2025,Chat,The eyebrow pencil tip broke immediately on first use.,Quality,Pending
C188,1188,M,45,Jewelry,21/03/2025,Email,The necklace clasp is too difficult to open and close.,Quality,Escalated
C189,1189,F,34,Clothing,22/03/2025,App,The sweater has uneven knitting with loose and tight sections.,Quality,Resolved
C190,1190,M,39,Electronics,23/03/2025,Phone,"The smartwatch strap pin is missing, cannot wear it.",Delivery,Pending
C191,1191,F,42,Home & Kitchen,24/03/2025,Email,"The refrigerator ice maker is not working, no ice production.",Quality,Resolved
C192,1192,M,29,Electronics,25/03/2025,Chat,The wireless earbuds case doesn't charge the earbuds properly.,Quality,Pending
C193,1193,F,46,Clothing,26/03/2025,App,The leggings fabric is pilling badly after just one wash.,Quality,Resolved
C194,1194,M,33,Home & Kitchen,27/03/2025,Phone,The microwave turntable is not rotating smoothly.,Quality,Escalated
C195,1195,F,38,Books,28/03/2025,Email,The novel has printing errors with repeated paragraphs.,Quality,Pending
C196,1196,M,41,Sports,29/03/2025,App,The yoga block is too soft and provides no support.,Quality,Resolved
C197,1197,F,36,Beauty,30/03/2025,Chat,The face cream consistency is lumpy and doesn't blend well.,Quality,Pending
C198,1198,M,43,Jewelry,31/03/2025,Email,The ring finish is uneven with visible polishing marks.,Quality,Escalated
C199,1199,F,30,Clothing,01/04/2025,App,The jacket waterproof coating is peeling off in patches.,Quality,Resolved
C200,1200,M,47,Electronics,02/04/2025,Phone,The computer speaker has constant static noise in background.,Quality,Pending
C201,1201,F,34,Home & Kitchen,03/04/2025,Email,The food processor blade is rusting after minimal use.,Quality,Resolved
C202,1202,M,39,Electronics,04/04/2025,Chat,The tablet screen protector has air bubbles that won't go away.,Quality,Pending
C203,1203,F,42,Clothing,05/04/2025,App,"The dress hem is uneven, much shorter on one side.",Quality,Resolved
C204,1204,M,29,Home & Kitchen,06/04/2025,Phone,"The chimney suction power is very weak, smoke escapes.",Quality,Escalated
C205,1205,F,46,Books,07/04/2025,Email,"The book binding is coming apart, pages falling out.",Quality,Pending
C206,1206,M,33,Sports,08/04/2025,App,"The tennis balls have no bounce, seem old and used.",Quality,Resolved
C207,1207,F,38,Beauty,09/04/2025,Chat,The lip gloss applicator is broken and cannot be used.,Quality,Pending
C208,1208,M,41,Jewelry,10/04/2025,Email,The earring studs are too sharp and hurt my ears.,Quality,Escalated
C209,1209,F,36,Clothing,11/04/2025,App,The shirt buttons are different sizes and colors.,Quality,Resolved
C210,1210,M,43,Electronics,12/04/2025,Phone,The smart bulb cannot connect to Alexa for voice control.,Quality,Pending
C211,1211,F,30,Home & Kitchen,13/04/2025,Email,The electric kettle base is wobbly and unstable.,Quality,Resolved
C212,1212,M,45,Electronics,14/04/2025,Chat,The laptop cooling fan makes rattling noise constantly.,Quality,Pending
C213,1213,F,34,Clothing,15/04/2025,App,The jeans fabric is too thin and tears easily.,Quality,Resolved
C214,1214,M,39,Home & Kitchen,16/04/2025,Phone,The water purifier waste water ratio is too high.,Quality,Escalated
C215,1215,F,42,Books,17/04/2025,Email,The book cover is upside down compared to the content.,Quality,Pending
C216,1216,M,29,Sports,18/04/2025,App,The badminton racket frame is cracked on arrival.,Quality,Resolved
C217,1217,F,46,Beauty,19/04/2025,Chat,"The face powder has mold spots, seems contaminated.",Quality,Pending
C218,1218,M,33,Jewelry,20/04/2025,Email,The necklace chain links are weak and breaking.,Quality,Escalated
C219,1219,F,38,Clothing,21/04/2025,App,The sweater sleeves are different lengths.,Quality,Resolved
C220,1220,M,41,Electronics,22/04/2025,Phone,The power bank doesn't hold charge as advertised.,Quality,Pending
C221,1221,F,36,Home & Kitchen,23/04/2025,Email,The mixer grinder jar lid cracked while grinding spices.,Quality,Resolved
C222,1222,M,43,Electronics,24/04/2025,Chat,The wireless keyboard keys are sticking and not responsive.,Quality,Pending
C223,1223,F,30,Clothing,25/04/2025,App,The dress stitching is coming loose at multiple places.,Quality,Resolved
C224,1224,M,47,Home & Kitchen,26/04/2025,Phone,The induction cooktop shows error F3 repeatedly.,Quality,Escalated
C225,1225,F,34,Books,27/04/2025,Email,The book pages are yellowed and smell musty.,Quality,Pending
C226,1226,M,39,Sports,28/04/2025,App,The cricket bat handle is rough and gives blisters.,Quality,Resolved
C227,1227,F,42,Beauty,29/04/2025,Chat,The face wash tube has puncture and product is leaking.,Delivery,Pending
C228,1228,M,29,Jewelry,30/04/2025,Email,"The bracelet diameter is too small, cannot wear it.",Quality,Escalated
C229,1229,F,46,Clothing,01/05/2025,App,The jacket lining is torn from the armpit area.,Quality,Resolved
C230,1230,M,33,Electronics,02/05/2025,Phone,The tablet screen has touch dead zones.,Quality,Pending
C231,1231,F,38,Home & Kitchen,03/05/2025,Email,The food processor motor burned out during first use.,Quality,Resolved
C232,1232,M,41,Electronics,04/05/2025,Chat,The Bluetooth headphones have unbalanced audio.,Quality,Pending
C233,1233,F,36,Clothing,05/05/2025,App,The shirt fabric shrunk unevenly after first wash.,Quality,Resolved
C234,1234,M,43,Home & Kitchen,06/05/2025,Phone,The water heater temperature control is not accurate.,Quality,Escalated
C235,1235,F,30,Books,07/05/2025,Email,The book arrived with coffee stains on several pages.,Delivery,Pending
C236,1236,M,45,Sports,08/05/2025,App,"The football valve is defective, air leaks slowly.",Quality,Resolved
C237,1237,F,34,Beauty,09/05/2025,Chat,The mascara brush is bent and cannot apply properly.,Quality,Pending
C238,1238,M,39,Jewelry,10/05/2025,Email,The ring stone is loose in its setting.,Quality,Escalated
C239,1239,F,42,Clothing,11/05/2025,App,The dress zipper is defective and gets stuck.,Quality,Resolved
C240,1240,M,29,Electronics,12/05/2025,Phone,The smartwatch heart rate monitor is inaccurate.,Quality,Pending
C241,1241,F,46,Home & Kitchen,13/05/2025,Email,The air conditioner remote display is not working.,Quality,Resolved
C242,1242,M,33,Electronics,14/05/2025,Chat,"The laptop battery drains too quickly, lasts only 1 hour.",Quality,Pending
C243,1243,F,38,Clothing,15/05/2025,App,The sweater has holes in multiple places.,Quality,Resolved
C244,1244,M,41,Home & Kitchen,16/05/2025,Phone,The chimney auto clean function makes loud noise.,Quality,Escalated
C245,1245,F,36,Books,17/05/2025,Email,"The book pages are cut unevenly, difficult to turn.",Quality,Pending
C246,1246,M,43,Sports,18/05/2025,App,The yoga mat is too thin and provides no cushioning.,Quality,Resolved
C247,1247,F,30,Beauty,19/05/2025,Chat,The face cream jar was only half filled.,Delivery,Pending
C248,1248,M,47,Jewelry,20/05/2025,Email,The necklace chain color is fading after one week.,Quality,Escalated
C249,1249,F,34,Clothing,21/05/2025,App,The jeans pocket stitching is coming undone.,Quality,Resolved
C250,1250,M,39,Electronics,22/05/2025,Phone,The computer monitor has backlight bleeding issues.,Quality,Pending
C251,1251,F,42,Home & Kitchen,23/05/2025,Email,The refrigerator door doesn't seal properly.,Quality,Resolved
C252,1252,M,29,Electronics,24/05/2025,Chat,The wireless earbuds have connectivity issues.,Quality,Pending
C253,1253,F,46,Clothing,25/05/2025,App,The dress fabric is transparent and requires lining.,Quality,Resolved
C254,1254,M,33,Home & Kitchen,26/05/2025,Phone,The mixer grinder speed control is erratic.,Quality,Escalated
C255,1255,F,38,Books,27/05/2025,Email,The book printing is faded in many sections.,Quality,Pending
C256,1256,M,41,Sports,28/05/2025,App,The cricket ball stitching is coming loose.,Quality,Resolved
C257,1257,F,36,Beauty,29/05/2025,Chat,The lipstick case is cracked and cannot close properly.,Quality,Pending
C258,1258,M,43,Jewelry,30/05/2025,Email,The earring hooks are too thick for my ear piercings.,Quality,Escalated
C259,1259,F,30,Clothing,31/05/2025,App,The shirt buttons are different from each other.,Quality,Resolved
C260,1260,M,45,Electronics,01/06/2025,Phone,The tablet charging cable stopped working after 2 days.,Quality,Pending
C261,1261,F,34,Home & Kitchen,02/06/2025,Email,The water filter cartridge life is much shorter than advertised.,Quality,Resolved
C262,1262,M,39,Electronics,03/06/2025,Chat,The smart bulb cannot maintain color consistency.,Quality,Pending
C263,1263,F,42,Clothing,04/06/2025,App,The jacket zipper is of poor quality and gets stuck.,Quality,Resolved
C264,1264,M,29,Home & Kitchen,05/06/2025,Phone,The gas stove burner flames are uneven.,Quality,Escalated
C265,1265,F,46,Books,06/06/2025,Email,The book cover is damaged with deep scratches.,Delivery,Pending
C266,1266,M,33,Sports,07/06/2025,App,The badminton shuttlecocks are damaged and cannot be used.,Quality,Resolved
C267,1267,F,38,Beauty,08/06/2025,Chat,The face wash has sand-like particles in it.,Quality,Pending
C268,1268,M,41,Jewelry,09/06/2025,Email,The bracelet clasp is too difficult to operate.,Quality,Escalated
C269,1269,F,36,Clothing,10/06/2025,App,"The dress size label is wrong, actual size different.",Quality,Resolved
C270,1270,M,43,Electronics,11/06/2025,Phone,The laptop keyboard backlight is not working.,Quality,Pending
C271,1271,F,30,Home & Kitchen,12/06/2025,Email,The electric kettle automatic shutoff fails sometimes.,Quality,Resolved
C272,1272,M,47,Electronics,13/06/2025,Chat,The wireless mouse battery compartment is broken.,Quality,Pending
C273,1273,F,34,Clothing,14/06/2025,App,The sweater has loose threads all over the fabric.,Quality,Resolved
C274,1274,M,39,Home & Kitchen,15/06/2025,Phone,The water purifier filter change indicator is not working.,Quality,Escalated
C275,1275,F,42,Books,16/06/2025,Email,The book has missing chapters mentioned in index.,Quality,Pending
C276,1276,M,29,Sports,17/06/2025,App,The football pump hose is cracked and leaks air.,Quality,Resolved
C277,1277,F,46,Beauty,18/06/2025,Chat,The face mask packaging was torn and product exposed.,Delivery,Pending
C278,1278,M,33,Jewelry,19/06/2025,Email,The necklace chain is twisting and tangling constantly.,Quality,Escalated
C279,1279,F,38,Clothing,20/06/2025,App,The shirt fabric is see-through and requires layering.,Quality,Resolved
C280,1280,M,41,Electronics,21/06/2025,Phone,The tablet screen has developed a yellow tint.,Quality,Pending
C281,1281,F,36,Home & Kitchen,22/06/2025,Email,The microwave turntable motor is not working.,Quality,Resolved
C282,1282,M,43,Electronics,23/06/2025,Chat,The Bluetooth speaker volume is too low at maximum.,Quality,Pending
C283,1283,F,30,Clothing,24/06/2025,App,The jeans color bleeds excessively during washing.,Quality,Resolved
C284,1284,M,45,Home & Kitchen,25/06/2025,Phone,The chimney suction power decreases after 10 minutes.,Quality,Escalated
C285,1285,F,34,Books,26/06/2025,Email,The book pages are of different paper quality.,Quality,Pending
C286,1286,M,39,Sports,27/06/2025,App,The cricket bat has a crack in the willow.,Quality,Resolved
C287,1287,F,42,Beauty,28/06/2025,Chat,"The compact powder has wrong shade, too dark for me.",Quality,Pending
C288,1288,M,29,Jewelry,29/06/2025,Email,The ring finish is scratched and looks used.,Quality,Escalated
C289,1289,F,46,Clothing,30/06/2025,App,"The jacket pockets are not deep enough, items fall out.",Quality,Resolved
C290,1290,M,33,Electronics,01/07/2025,Phone,The smartwatch step counter is highly inaccurate.,Quality,Pending
C291,1291,F,38,Home & Kitchen,02/07/2025,Email,The food processor blades are dull and cannot chop properly.,Quality,Resolved
C292,1292,M,41,Electronics,03/07/2025,Chat,The laptop fan is too loud even during normal use.,Quality,Pending
C293,1293,F,36,Clothing,04/07/2025,App,The dress fabric is too stiff and doesn't drape well.,Quality,Resolved
C294,1294,M,43,Home & Kitchen,05/07/2025,Phone,The water heater temperature fluctuates unexpectedly.,Quality,Escalated
C295,1295,F,30,Books,06/07/2025,Email,The book arrived with pen marks on several pages.,Delivery,Pending
C296,1296,M,47,Sports,07/07/2025,App,The yoga mat has strong rubber smell that won't go away.,Quality,Resolved
C297,1297,F,34,Beauty,08/07/2025,Chat,The face serum bottle dropper is not working.,Quality,Pending
C298,1298,M,39,Jewelry,09/07/2025,Email,The bracelet is too tight and cannot be adjusted.,Quality,Escalated
C299,1299,F,42,Clothing,10/07/2025,App,The shirt collar is misshapen and doesn't lay flat.,Quality,Resolved
C300,1300,M,29,Electronics,11/07/2025,Phone,The tablet screen has developed dead pixels.,Quality,Pending
C301,1301,F,46,Home & Kitchen,12/07/2025,Email,The air fryer timer bell is not audible.,Quality,Resolved
C302,1302,M,33,Electronics,13/07/2025,Chat,The laptop touchpad is not responsive in certain areas.,Quality,Pending
C303,1303,F,38,Clothing,14/07/2025,App,The jeans waist is too tight compared to other measurements.,Quality,Resolved
C304,1304,M,41,Home & Kitchen,15/07/2025,Phone,The refrigerator door alarm doesn't work when left open.,Quality,Escalated
C305,1305,F,36,Books,16/07/2025,Email,The book has printing ink smudges on many pages.,Quality,Pending
C306,1306,M,43,Sports,17/07/2025,App,The badminton racket string tension is too loose.,Quality,Resolved
C307,1307,F,30,Beauty,18/07/2025,Chat,The face wash consistency is too watery and runny.,Quality,Pending
C308,1308,M,45,Jewelry,19/07/2025,Email,The necklace chain is too thin and feels fragile.,Quality,Escalated
C309,1309,F,34,Clothing,20/07/2025,App,The sweater has uneven dye patches.,Quality,Resolved
C310,1310,M,39,Electronics,21/07/2025,Phone,The power bank doesn't charge my phone completely.,Quality,Pending
C311,1311,F,42,Home & Kitchen,22/07/2025,Email,The mixer grinder jar has hairline cracks.,Quality,Resolved
C312,1312,M,29,Electronics,23/07/2025,Chat,The wireless headphones have static noise in left ear.,Quality,Pending
C313,1313,F,46,Clothing,24/07/2025,App,The dress hem is coming undone after first wear.,Quality,Resolved
C314,1314,M,33,Home & Kitchen,25/07/2025,Phone,The chimney remote control range is very limited.,Quality,Escalated
C315,1315,F,38,Books,26/07/2025,Email,The book spine is broken and cover is detached.,Quality,Pending
C316,1316,M,41,Sports,27/07/2025,App,The football valve core is missing.,Quality,Resolved
C317,1317,F,36,Beauty,28/07/2025,Chat,The lip balm has gritty particles in it.,Quality,Pending
C318,1318,M,43,Jewelry,29/07/2025,Email,The earring backs don't fit properly.,Quality,Escalated
C319,1319,F,30,Clothing,30/07/2025,App,The shirt buttons are coming loose.,Quality,Resolved
C320,1320,M,47,Electronics,31/07/2025,Phone,The tablet case magnet is too weak.,Quality,Pending
C321,1321,F,34,Home & Kitchen,01/08/2025,Email,The electric kettle scale buildup is excessive.,Quality,Resolved
C322,1322,M,39,Electronics,02/08/2025,Chat,The laptop screen has pressure marks.,Quality,Pending
C323,1323,F,42,Clothing,03/08/2025,App,The jacket lining is tearing at the seams.,Quality,Resolved
C324,1324,M,29,Home & Kitchen,04/08/2025,Phone,The water purifier UV lamp is not working.,Quality,Escalated
C325,1325,F,46,Books,05/08/2025,Email,The book has missing pages in the middle.,Quality,Pending
C326,1326,M,33,Sports,06/08/2025,App,The cricket gloves padding is inadequate.,Quality,Resolved
C327,1327,F,38,Beauty,07/08/2025,Chat,The face cream has separated consistency.,Quality,Pending
C328,1328,M,41,Jewelry,08/08/2025,Email,The necklace clasp is too difficult to open.,Quality,Escalated
C329,1329,F,36,Clothing,09/08/2025,App,The dress fabric is too sheer for public wear.,Quality,Resolved
C330,1330,M,43,Electronics,10/08/2025,Phone,The smartwatch battery swelled after 2 months.,Quality,Pending
C331,1331,F,30,Home & Kitchen,11/08/2025,Email,The food processor safety lock is not engaging properly.,Quality,Resolved
C332,1332,M,45,Electronics,12/08/2025,Chat,The wireless mouse scroll wheel is not working.,Quality,Pending
C333,1333,F,34,Clothing,13/08/2025,App,The jeans color faded dramatically after first wash.,Quality,Resolved
C334,1334,M,39,Home & Kitchen,14/08/2025,Phone,The gas stove ignition is not working consistently.,Quality,Escalated
C335,1335,F,42,Books,15/08/2025,Email,The book cover design is pixelated and blurry.,Quality,Pending
C336,1336,M,29,Sports,16/08/2025,App,The badminton racket grip is too slippery.,Quality,Resolved
C337,1337,F,46,Beauty,17/08/2025,Chat,The face powder compact mirror is broken.,Quality,Pending
C338,1338,M,33,Jewelry,18/08/2025,Email,The ring size is incorrect despite providing measurements.,Quality,Escalated
C339,1339,F,38,Clothing,19/08/2025,App,The shirt fabric is rough and itchy against skin.,Quality,Resolved
C340,1340,M,41,Electronics,20/08/2025,Phone,The tablet charging port is loose.,Quality,Pending
C341,1341,F,36,Home & Kitchen,21/08/2025,Email,The refrigerator water dispenser is leaking.,Quality,Resolved
C342,1342,M,43,Electronics,22/08/2025,Chat,The Bluetooth speaker battery life is very short.,Quality,Pending
C343,1343,F,30,Clothing,23/08/2025,App,The dress stitching is coming loose at seams.,Quality,Resolved
C344,1344,M,47,Home & Kitchen,24/08/2025,Phone,The chimney remote control buttons are not working.,Quality,Escalated
C345,1345,F,34,Books,25/08/2025,Email,The book arrived with water damage on cover.,Delivery,Pending
C346,1346,M,39,Sports,26/08/2025,App,The cricket bat has a manufacturing defect in handle.,Quality,Resolved
C347,1347,F,42,Beauty,27/08/2025,Chat,The face wash tube seal was broken.,Delivery,Pending
C348,1348,M,29,Jewelry,28/08/2025,Email,The bracelet chain is too heavy and uncomfortable.,Quality,Escalated
C349,1349,F,46,Clothing,29/08/2025,App,The jacket zipper is of poor quality.,Quality,Resolved
C350,1350,M,33,Electronics,30/08/2025,Phone,The laptop keyboard has faulty keys.,Quality,Pending
C351,1351,F,38,Home & Kitchen,31/08/2025,Email,The water heater temperature control is stuck.,Quality,Resolved
C352,1352,M,41,Electronics,01/09/2025,Chat,The smart bulb cannot maintain stable connection.,Quality,Pending
C353,1353,F,36,Clothing,02/09/2025,App,The shirt collar is misshapen after wash.,Quality,Resolved
C354,1354,M,43,Home & Kitchen,03/09/2025,Phone,The mixer grinder jar lid is cracked.,Quality,Escalated
C355,1355,F,30,Books,04/09/2025,Email,The book pages are coming loose from binding.,Quality,Pending
C356,1356,M,45,Sports,05/09/2025,App,The football valve is defective.,Quality,Resolved
C357,1357,F,34,Beauty,06/09/2025,Chat,The compact powder shade is different from display.,Quality,Pending
C358,1358,M,39,Jewelry,07/09/2025,Email,The necklace chain is twisting constantly.,Quality,Escalated
C359,1359,F,42,Clothing,08/09/2025,App,The dress size is inaccurate compared to chart.,Quality,Resolved
C360,1360,M,29,Electronics,09/09/2025,Phone,The tablet screen has developed lines.,Quality,Pending
C361,1361,F,46,Home & Kitchen,10/09/2025,Email,The air conditioner remote is not working.,Quality,Resolved
C362,1362,M,33,Electronics,11/09/2025,Chat,The laptop battery doesn't hold charge.,Quality,Pending
C363,1363,F,38,Clothing,12/09/2025,App,The sweater has manufacturing defects.,Quality,Resolved
C364,1364,M,41,Home & Kitchen,13/09/2025,Phone,The water purifier is making noise.,Quality,Escalated
C365,1365,F,36,Books,14/09/2025,Email,The book has printing errors.,Quality,Pending
C366,1366,M,43,Sports,15/09/2025,App,The badminton racket is defective.,Quality,Resolved
C367,1367,F,30,Beauty,16/09/2025,Chat,The face cream caused irritation.,Quality,Pending
C368,1368,M,47,Jewelry,17/09/2025,Email,The earring backs are loose.,Quality,Escalated
C369,1369,F,34,Clothing,18/09/2025,App,The jeans fabric is poor quality.,Quality,Resolved
C370,1370,M,39,Electronics,19/09/2025,Phone,The smartwatch screen is scratched.,Quality,Pending
C371,1371,F,42,Home & Kitchen,20/09/2025,Email,The refrigerator is not cooling properly.,Quality,Resolved
C372,1372,M,29,Electronics,21/09/2025,Chat,The wireless earbuds have connectivity issues.,Quality,Pending
C373,1373,F,46,Clothing,22/09/2025,App,The dress color faded after wash.,Quality,Resolved
C374,1374,M,33,Home & Kitchen,23/09/2025,Phone,The chimney suction is weak.,Quality,Escalated
C375,1375,F,38,Books,24/09/2025,Email,The book arrived damaged.,Delivery,Pending
C376,1376,M,41,Sports,25/09/2025,App,The cricket ball is defective.,Quality,Resolved
C377,1377,F,36,Beauty,26/09/2025,Chat,The lipstick case is broken.,Quality,Pending
C378,1378,M,43,Jewelry,27/09/2025,Email,The bracelet is too tight.,Quality,Escalated
C379,1379,F,30,Clothing,28/09/2025,App,The shirt stitching is poor.,Quality,Resolved
C380,1380,M,45,Electronics,29/09/2025,Phone,The tablet charging is slow.,Quality,Pending
C381,1381,F,34,Home & Kitchen,30/09/2025,Email,The food processor motor is weak.,Quality,Resolved
C382,1382,M,39,Electronics,01/10/2025,Chat,The laptop overheats frequently.,Quality,Pending
C383,1383,F,42,Clothing,02/10/2025,App,The jacket lining is torn.,Quality,Resolved
C384,1384,M,29,Home & Kitchen,03/10/2025,Phone,The water heater is leaking.,Quality,Escalated
C385,1385,F,46,Books,04/10/2025,Email,The book has missing pages.,Quality,Pending
